State,Time (s),Latitude,Longitude
Stage 1,0.0,19.500000000000004,41.5
Stage 1,10.0,19.499995232985253,41.499999031290024
Stage 1,20.0,19.49998176877458,41.498148980401524
Stage 1,30.0,19.49995884045552,41.497430808416546
Stage 1,40.0,19.499924115446657,41.49957204003765
Stage 1,50.0,19.499873431362584,41.50635999386086
Stage 1,60.0,19.49980039938104,41.51961030305711
Stage 1,70.0,19.499692745587378,41.54283992382685
Stage 1,80.0,19.49954199856004,41.5750698667474
Stage 1,90.0,19.499336212806405,41.61666612401708
Stage 1,100.0,19.499061271401814,41.66802386215166
Stage 1,110.0,19.49870059813985,41.7295709546778
Stage 1,120.0,19.498234820798103,41.80177218442584
Stage 1,130.0,19.497641374516,41.88513428851571
Stage 1,140.0,19.496894030967987,41.98021207618705
Stage 1,150.0,19.495962334430672,42.08761592978392
Stage 1,160.0,19.49481091938412,42.20802111374585
Stage 1,170.0,19.493398675012205,42.342179483240244
Stage 1,180.0,19.49167770836077,42.490934432061174
Stage 1,190.0,19.489592037468757,42.65524029691804
Stage 1,200.0,19.487075914242894,42.836188025308616
Stage 1,210.0,19.484051626669434,43.03503986475111
Stage 1,220.0,19.480457317139415,43.25117786558271
Stage 2,230.0,19.47654015559509,43.46469887724224
Stage 2,240.0,19.47219395445385,43.68231782669572
Stage 2,250.0,19.467399746312594,43.90411397042374
Stage 2,260.0,19.462137799142415,44.13016794360449
Stage 2,270.0,19.456387587576135,44.36056179461389
Stage 2,280.0,19.45012776302181,44.59537902304586
Stage 2,290.0,19.44333612250958,44.83470462211684
Stage 2,300.0,19.435989576160562,45.07862512649602
Stage 2,310.0,19.428064113143265,45.32722866681815
Stage 2,320.0,19.41953476595423,45.58060503239552
Stage 2,330.0,19.41037557282395,45.83884574396154
Stage 2,340.0,19.400559538004604,46.10204413866177
Stage 2,350.0,19.390058589640702,46.3702954699762
Stage 2,360.0,19.378843534855037,46.64369702582992
Stage 2,370.0,19.366884011595296,46.92234826885275
Stage 2,380.0,19.354148436679242,47.20635100361769
Stage 2,390.0,19.340603949339368,47.49580957676513
Stage 2,400.0,19.326216349396763,47.79083111726269
Stage 2,410.0,19.310950028975647,48.09152582573334
Stage 2,420.0,19.29476789639324,48.398007323907535
Stage 2,430.0,19.277631290504488,48.71039307794981
Stage 2,440.0,19.259499883325038,49.02880491285791
Stage 2,450.0,19.24033156816376,49.353369639576336
Stage 2,460.0,19.22008232972429,49.68421982224528
Stage 2,470.0,19.198706091618686,50.021494720591605
Stage 2,480.0,19.176154535386953,50.36534145252743
Stage 2,490.0,19.15237688330564,50.71591643550978
Stage 2,500.0,19.128138633368735,51.06055662356926
Stage 2,510.0,19.103196894105995,51.40352418529581
Stage 2,520.0,19.077557421745688,51.74489519820193
Stage 2,530.0,19.0512254005193,52.08474429512481
Stage 2,540.0,19.024205458609075,52.4231447470296
Stage 2,550.0,18.996501682840996,52.760168542762365
Stage 2,560.0,18.968117632183997,53.09588646596548
Stage 2,570.0,18.93905635011081,53.43036816935762
Stage 2,580.0,18.909320375871467,53.76368224656888
Stage 2,590.0,18.878911754725557,54.09589630171212
Stage 2,600.0,18.847832047175377,54.427077016862725
Stage 2,610.0,18.816082337238097,54.75729021761023
Stage 2,620.0,18.783663239791398,55.086600936838586
Stage 2,630.0,18.75057490702341,55.41507347688415
Stage 2,640.0,18.716817034014582,55.74277147021512
Stage 2,650.0,18.682388863475833,56.0697579387699
Stage 2,660.0,18.647289189664463,56.39609535208752
Stage 2,670.0,18.61151636149631,56.721845684358264
Stage 2,680.0,18.57506828486982,57.047070470519024
Stage 2,690.0,18.537942424215178,57.37183086151453
Stage 2,700.0,18.500135803278923,57.696187678842364
Stage 2,710.0,18.46164500515198,58.020201468497405
Stage 2,720.0,18.42246617154659,58.34393255442929
