State,Time (s),Latitude,Longitude
Stage 1,0.0,19.500000000000004,41.5
Stage 1,10.0,19.499995232985253,41.499999031290024
Stage 1,20.0,19.49998176877458,41.498148980401524
Stage 1,30.0,19.49995884045552,41.497430808416546
Stage 1,40.0,19.499924115446657,41.49957204003765
Stage 1,50.0,19.499873431362584,41.50635999386086
Stage 1,60.0,19.49980039938104,41.51961030305711
Stage 1,70.0,19.499692745587378,41.54283992382685
Stage 1,80.0,19.49954199856004,41.5750698667474
Stage 1,90.0,19.499336212806405,41.61666612401708
Stage 1,100.0,19.499061271401814,41.66802386215166
Stage 1,110.0,19.49870059813985,41.7295709546778
Stage 1,120.0,19.498234820798103,41.80177218442584
Stage 1,130.0,19.497641374516,41.88513428851571
Stage 1,140.0,19.496894030967987,41.98021207618705
Stage 1,150.0,19.495962334430672,42.08761592978392
Stage 1,160.0,19.49481091938412,42.20802111374585
Stage 1,170.0,19.493398675012205,42.342179483240244
Stage 1,180.0,19.49167770836077,42.490934432061174
Stage 1,190.0,19.489592037468757,42.65524029691804
Stage 1,200.0,19.487075914242894,42.836188025308616
Stage 1,210.0,19.484051626669434,43.03503986475111
Stage 1,220.0,19.480457317139415,43.25117786558271
Stage 2,230.0,19.47654015559509,43.46469887724224
Stage 2,240.0,19.47219395445385,43.68231782669572
Stage 2,250.0,19.467399746312594,43.90411397042374
Stage 2,260.0,19.462137799142415,44.1301679436045
Stage 2,270.0,19.456387587576135,44.36056179461389
Stage 2,280.0,19.45012776302181,44.595379023045865
Stage 2,290.0,19.44333612250958,44.83470462211684
Stage 2,300.0,19.435989576160562,45.07862512649602
Stage 2,310.0,19.428064113143265,45.32722866681815
Stage 2,320.0,19.41953476595423,45.580605032395525
Stage 2,330.0,19.41037557282395,45.83884574396155
Stage 2,340.0,19.400559538004604,46.102044138661775
Stage 2,350.0,19.390058589640702,46.3702954699762
Stage 2,360.0,19.378843534855037,46.64369702582992
Stage 2,370.0,19.366884011595296,46.92234826885276
Stage 2,380.0,19.354148436679242,47.20635100361769
Stage 2,390.0,19.340603949339368,47.49580957676513
Stage 2,400.0,19.326216349396763,47.79083111726269
Stage 2,410.0,19.310950028975647,48.09152582573335
Stage 2,420.0,19.29476789639324,48.39800732390754
Stage 2,430.0,19.277631290504488,48.71039307794982
Stage 2,440.0,19.259499883325038,49.028804912857915
Stage 2,450.0,19.24033156816376,49.35336963957634
Stage 2,460.0,19.22008232972429,49.68421982224529
Stage 2,470.0,19.198706091618686,50.021494720591605
Stage 2,480.0,19.176154535386953,50.36534145252743
Stage 2,490.0,19.152376883305635,50.71591643550978
Stage 2,500.0,19.128138633368728,51.06055662356927
Stage 2,510.0,19.103196894105988,51.403524185295815
Stage 2,520.0,19.07755742174568,51.74489519820194
Stage 2,530.0,19.0512254005193,52.08474429512481
Stage 2,540.0,19.024205458609067,52.42314474702961
Stage 2,550.0,18.996501682840993,52.76016854276237
Stage 2,560.0,18.96811763218399,53.095886465965485
Stage 2,570.0,18.939056350110803,53.43036816935763
Stage 2,580.0,18.909320375871463,53.76368224656888
Stage 2,590.0,18.878911754725554,54.09589630171212
Stage 2,600.0,18.84783204717537,54.427077016862725
Stage 2,610.0,18.816082337238093,54.75729021761023
Stage 2,620.0,18.78366323979139,55.08660093683859
Stage 2,630.0,18.750574907023406,55.41507347688415
Stage 2,640.0,18.716817034014575,55.74277147021512
Stage 2,650.0,18.682388863475822,56.0697579387699
Stage 2,660.0,18.647289189664452,56.39609535208752
Stage 2,670.0,18.611516361496303,56.72184568435827
Stage 2,680.0,18.57506828486982,57.04707047051903
Stage 2,690.0,18.537942424215167,57.37183086151454
Stage 2,700.0,18.500135803278916,57.69618767884238
Stage 2,710.0,18.461645005151976,58.020201468497405
Stage 2,720.0,18.42246617154658,58.34393255442929
Orbital coast,720.1,18.421747156131065,58.35015981234762
Orbital coast,720.2,18.421027909720703,58.35638701483824
Orbital coast,720.3000000000001,18.42030843232709,58.3626141618861
Orbital coast,720.4000000000001,18.41958872396182,58.36884125347615
Orbital coast,720.5000000000001,18.41886878463648,58.37506828959333
Orbital coast,720.6000000000001,18.418148614362686,58.38129527022261
Orbital coast,720.7000000000002,18.417428213152036,58.38752219534895
Orbital coast,720.8000000000002,18.41670758101613,58.3937490649573
Orbital coast,720.9000000000002,18.41598671796659,58.399975879032645
Orbital coast,721.0000000000002,18.415265624015014,58.40620263755994
Orbital coast,721.1000000000003,18.414544299173027,58.412429340524184
Orbital coast,721.2000000000003,18.41382274345225,58.41865598791033
Orbital coast,721.3000000000003,18.41310095686431,58.424882579703365
Orbital coast,721.4000000000003,18.41237893942082,58.43110911588828
Orbital coast,721.5000000000003,18.411656691133427,58.43733559645006
Orbital coast,721.6000000000004,18.41093421201376,58.443562021373694
Orbital coast,721.7000000000004,18.41021150207345,58.44978839064419
Orbital coast,721.8000000000004,18.409488561324146,58.45601470424652
Orbital coast,721.9000000000004,18.40876538977749,58.462240962165716
Orbital coast,722.0000000000005,18.40804198744512,58.468467164386766
Orbital coast,722.1000000000005,18.407318354338695,58.474693310894686
Orbital coast,722.2000000000005,18.40659449046987,58.480919401674484
Orbital coast,722.3000000000005,18.4058703958503,58.48714543671119
Orbital coast,722.4000000000005,18.405146070491643,58.4933714159898
Orbital coast,722.5000000000006,18.404421514405573,58.49959733949536
Orbital coast,722.6000000000006,18.40369672760375,58.50582320721289
Orbital coast,722.7000000000006,18.402971710097844,58.51204901912742
Orbital coast,722.8000000000006,18.40224646189953,58.51827477522397
