O/F	temp	isp	mw	cstar	gamma
None	None	None	None	None	None
0.79265	1323.0	2173.822374845936	14.972	1320.8	1.198
0.77665	1316.02	2167.2605617819913	15.026	1315.7	1.1959
0.76093	1309.01	2160.863199536074	15.081	1310.7	1.1938
0.74548	1301.98	2154.2124697188883	15.136	1305.6	1.1918
0.73031	1294.9	2147.307061938379	15.191	1300.4	1.1899
0.71539	1287.79	2140.5649668372125	15.246	1295.3	1.188
0.70074	1280.63	2133.566832618842	15.302	1290.1	1.1862
0.68632	1273.43	2126.400692385902	15.357	1284.8	1.1844
0.67216	1266.16	2119.23175532155	15.413	1279.5	1.1826
0.65822	1258.84	2111.970443543629	15.469	1274.2	1.1809
0.64452	1251.44	2104.539979916501	15.524	1268.8	1.1792
0.63104	1243.98	2097.0161034539224	15.58	1263.4	1.1776
0.61779	1236.44	2089.2322611931527	15.636	1257.9	1.1761
0.60474	1228.82	2081.534018838153	15.692	1252.4	1.1745
0.59191	1221.11	2073.484916187675	15.748	1246.8	1.1731
0.57927	1213.3	2065.5210990119913	15.804	1241.2	1.1716
0.56684	1205.4	2057.2957000613274	15.859	1235.5	1.1702
0.5546	1197.39	2048.9748367971833	15.915	1229.8	1.1689
0.54255	1189.27	2040.3152637700373	15.97	1223.9	1.1676
0.53069	1181.03	2031.7265323923268	16.025	1218.1	1.1664
0.51901	1172.66	2022.7984843275976	16.08	1212.1	1.1652
0.5075	1164.17	2013.86448649987	16.134	1206.1	1.164
0.49617	1155.54	2004.8344448592911	16.188	1200.1	1.1629
0.485	1146.77	1995.3743134865117	16.242	1193.9	1.1619
0.474	1137.85	1985.9081510566143	16.295	1187.7	1.1609
0.46317	1128.77	1976.2686387748902	16.348	1181.4	1.1599
0.45249	1119.53	1966.3660718428393	16.4	1175.0	1.159
0.44197	1110.11	1956.3681919189603	16.451	1168.6	1.1582
0.43159	1100.52	1946.0296563313527	16.502	1162.0	1.1574
0.42137	1090.75	1935.51760372251	16.551	1155.3	1.1566
0.41129	1080.79	1924.8225769040343	16.6	1148.6	1.156
0.40135	1070.63	1914.0429877233585	16.648	1141.8	1.1553
0.39155	1060.26	1902.7467818607204	16.695	1134.8	1.1548
0.38189	1049.68	1891.4459763034	16.741	1127.8	1.1543
0.37236	1038.88	1879.805058104976	16.785	1120.6	1.1538
0.36296	1027.86	1867.9863460052813	16.828	1113.4	1.1535
0.35369	1016.61	1855.828973854115	16.87	1106.0	1.1532
0.34455	1005.12	1843.5006162236193	16.91	1098.5	1.1529
0.33553	993.38	1830.663413913251	16.948	1090.8	1.1528
0.32662	981.39	1817.825043890128	16.985	1083.1	1.1527
0.31784	969.13	1804.5660485556882	17.019	1075.2	1.1527
0.30917	956.62	1790.8882737319673	17.052	1067.1	1.1528
0.30061	943.82	1776.9615623258583	17.083	1058.9	1.153
0.29217	930.75	1762.7880564015754	17.111	1050.6	1.1533
0.28383	917.38	1748.2022708169632	17.137	1042.1	1.1537
0.27561	903.72	1733.2067203661186	17.161	1033.4	1.1542
0.26748	889.75	1717.8040870781706	17.182	1024.5	1.1548
0.25946	875.47	1702.1648331059469	17.201	1015.5	1.1555
0.25154	860.86	1685.8793305382594	17.216	1006.2	1.1564
0.24372	845.91	1669.1977267344746	17.229	996.7	1.1574
0.236	830.61	1652.1234242800099	17.239	987.0	1.1585
0.22837	814.95	1634.4185100621505	17.246	977.0	1.1598
0.22083	798.92	1616.3305596575624	17.249	966.8	1.1612
0.21339	782.49	1597.3857979955458	17.249	956.2	1.1629
0.20604	765.66	1578.0713644862208	17.246	945.4	1.1647
0.19877	748.41	1557.919754822278	17.24	934.2	1.1668
0.19159	730.72	1537.0122869537738	17.231	922.6	1.1691
0.1845	712.56	1515.52535036273	17.218	910.7	1.1716
0.17749	693.92	1493.0716366470026	17.201	898.3	1.1744
0.17057	674.78	1469.6042884265496	17.182	885.4	1.1776
0.16372	655.11	1445.0408034872294	17.159	871.9	1.1811
0.15696	634.9	1419.5056837270902	17.133	857.9	1.185
0.15027	614.11	1392.857566015276	17.104	843.3	1.1893
0.14366	592.72	1409.6	17.072	827.9	1.1942
0.13713	570.71	1378.0	17.038	811.8	1.1995
0.13067	548.04	1304.226524914705	17.002	794.8	1.2055
0.12428	524.89	1271.8069036394827	16.969	777.0	1.212
0.11796	512.8	1252.786260765884	17.208	763.9	1.207
0.11172	499.61	1231.959952831904	17.42	750.2	1.2036
0.10554	485.11	1209.289305613163	17.601	735.9	1.2019
0.09944	469.06	1184.3584139646491	17.746	720.7	1.2018
0.0934	451.15	1156.9125390163642	17.849	704.5	1.2036
0.08742	430.99	1126.1676374493488	17.903	686.8	1.2074
None	None	None	None	None	None
None	None	None	None	None	None
None	None	None	None	None	None
None	None	None	None	None	None
None	None	None	None	None	None
None	None	None	None	None	None
None	None	None	None	None	None
0.04188	178.77	None	None	None	1.3194
None	None	None	None	None	None
None	None	None	None	None	None
None	None	None	None	None	None
None	None	None	None	None	None
None	None	None	None	None	None
None	None	None	None	None	None
None	None	None	None	None	None
None	None	None	None	None	None
